YEAR,MONTH,KS_SST,EQ_SOI,UWND,SouthSea,PAC_IND_SST_DIFF,EAST_PACIFIC,INDIA,KS_Anomaly,SouthSEA,EastSea
1987,1,14.7900,-0.595 ,-7.3646,15.6683,1.234815,0.788,-0.447,-0.43,-0.19,-0.47
1987,2,14.0950,-2.659 ,-7.09634,15.1300,1.464774,0.740,-0.725,-0.68,-1.29,-0.71
1987,3,14.0750,-1.021 ,-5.75773,14.7850,1.111735,0.776,-0.336,-1.50,-1.00,-2.37
1987,4,14.6000,-0.956 ,-5.74366,15.6933,1.280997,1.032,-0.249,-1.41,-0.89,-1.16
1987,5,18.0700,-1.055 ,-5.17446,18.1333,1.425321,1.236,-0.190,-0.34,-0.45,-0.76
1987,6,19.7350,0.788 ,-4.70448,21.3867,1.108142,0.644,-0.464,-0.80,-0.19,-0.18
1987,7,22.8800,0.035 ,-4.25821,24.0950,1.382811,0.868,-0.515,-0.05,-0.05,-0.51
1987,8,24.8450,0.809 ,-5.04842,26.6900,1.392091,0.770,-0.622,1.13,0.25,0.30
1987,9,23.7500,1.277 ,-5.35119,25.3683,1.726655,1.138,-0.589,-0.75,-0.54,-0.11
1987,10,21.9250,1.589 ,-3.22,23.2150,1.083386,0.805,-0.279,0.32,-0.19,-0.20
1987,11,18.6450,1.522 ,-5.556,20.9850,0.97549,0.736,-0.239,-0.58,-0.23,0.03
1987,12,16.8900,0.543 ,-4.97547,18.5000,1.141249,0.846,-0.295,0.40,0.43,0.17
1988,1,15.9250,1.650 ,-5.85687,16.4900,0.482779,0.365,-0.117,-0.12,-0.10,-0.06
1988,2,13.0900,0.085 ,-6.65408,14.6650,0.012656,-0.133,-0.145,0.58,0.45,1.67
1988,3,14.1000,1.809 ,-4.8789,14.7600,-0.4877633,-0.397,0.091,-0.01,-0.20,0.90
1988,4,14.1250,1.338 ,-4.76795,15.8883,-1.137466,-0.767,0.371,0.10,0.02,0.18
1988,5,17.6350,2.949 ,-5.04642,18.9000,-0.950967,-1.085,-0.134,0.34,-0.67,0.50
1988,6,20.0500,3.169 ,-5.564,21.4783,-1.606227,-1.746,-0.140,-0.66,-0.50,-0.79
1988,7,24.1450,3.627 ,-4.8191,25.8383,-1.811398,-1.528,0.284,-1.11,-1.59,-1.34
1988,8,26.3350,3.833 ,-5.72487,27.4867,-1.535906,-1.177,0.359,-0.38,-0.01,0.24
1988,9,25.2550,4.570 ,-3.562,26.2750,-1.112236,-0.941,0.172,0.89,-0.14,1.14
